No,Full Name,Email,External Id,Campus,Sub
1573,1573,1573@fpt.edu.vn,HRM201c-SG-S1573,SG,HRM201c
1574,1574,1574@fpt.edu.vn,HRM201c-SG-S1574,SG,HRM201c
1575,1575,1575@fpt.edu.vn,HRM201c-SG-S1575,SG,HRM201c
1576,1576,1576@fpt.edu.vn,HRM201c-SG-S1576,SG,HRM201c
1577,1577,1577@fpt.edu.vn,HRM201c-SG-S1577,SG,HRM201c
1578,1578,1578@fpt.edu.vn,HRM201c-SG-S1578,SG,HRM201c
1579,1579,1579@fpt.edu.vn,HRM201c-SG-S1579,SG,HRM201c
174,174,174@fpt.edu.vn,PMG201c-HN-H174,HN,PMG201c
198,198,198@fpt.edu.vn,PMG201c-HN-H198,HN,PMG201c
225,225,225@fpt.edu.vn,PMG201c-HN-H225,HN,PMG201c
254,254,254@fpt.edu.vn,PMG201c-HN-S254,HN,PMG201c
283,283,283@fpt.edu.vn,PMG201c-HN-s283,HN,PMG201c
226,226,226@fpt.edu.vn,PMG201c-HN-S226,HN,PMG201c
175,175,175@fpt.edu.vn,PMG201c-HN-S175,HN,PMG201c
199,199,199@fpt.edu.vn,PMG201c-HN-S199,HN,PMG201c
176,176,176@fpt.edu.vn,PMG201c-HN-S176,HN,PMG201c
255,255,255@fpt.edu.vn,PMG201c-HN-S255,HN,PMG201c
177,177,177@fpt.edu.vn,PMG201c-HN-S177,HN,PMG201c
178,178,178@fpt.edu.vn,PMG201c-HN-S178,HN,PMG201c
200,200,200@fpt.edu.vn,PMG201c-HN-S200,HN,PMG201c
256,256,256@fpt.edu.vn,PMG201c-HN-S256,HN,PMG201c
284,284,284@fpt.edu.vn,PMG201c-HN-S284,HN,PMG201c
227,227,227@fpt.edu.vn,PMG201c-HN-S227,HN,PMG201c
257,257,257@fpt.edu.vn,PMG201c-HN-S257,HN,PMG201c
258,258,258@fpt.edu.vn,PMG201c-HN-S258,HN,PMG201c
179,179,179@fpt.edu.vn,PMG201c-HN-S179,HN,PMG201c
144,144,144@fpt.edu.vn,PMG201c-HN-S144,HN,PMG201c
259,259,259@fpt.edu.vn,PMG201c-HN-S259,HN,PMG201c
201,201,201@fpt.edu.vn,PMG201c-HN-S201,HN,PMG201c
180,180,180@fpt.edu.vn,PMG201c-HN-S180,HN,PMG201c
228,228,228@fpt.edu.vn,PMG201c-HN-S228,HN,PMG201c
260,260,260@fpt.edu.vn,PMG201c-HN-S260,HN,PMG201c
229,229,229@fpt.edu.vn,PMG201c-HN-S229,HN,PMG201c
261,261,261@fpt.edu.vn,PMG201c-HN-S261,HN,PMG201c
145,145,145@fpt.edu.vn,PMG201c-HN-S145,HN,PMG201c
299,299,299@fpt.edu.vn,PMG201c-HN-S299,HN,PMG201c
285,285,285@fpt.edu.vn,PMG201c-HN-S285,HN,PMG201c
146,146,146@fpt.edu.vn,PMG201c-HN-S146,HN,PMG201c
147,147,147@fpt.edu.vn,PMG201c-HN-S147,HN,PMG201c
300,300,300@fpt.edu.vn,PMG201c-HN-S300,HN,PMG201c
148,148,148@fpt.edu.vn,PMG201c-HN-S148,HN,PMG201c
181,181,181@fpt.edu.vn,PMG201c-HN-S181,HN,PMG201c
149,149,149@fpt.edu.vn,PMG201c-HN-S149,HN,PMG201c
150,150,150@fpt.edu.vn,PMG201c-HN-S150,HN,PMG201c
151,151,151@fpt.edu.vn,PMG201c-HN-S151,HN,PMG201c
301,301,301@fpt.edu.vn,PMG201c-HN-S301,HN,PMG201c
152,152,152@fpt.edu.vn,PMG201c-HN-S152,HN,PMG201c
153,153,153@fpt.edu.vn,PMG201c-HN-S153,HN,PMG201c
154,154,154@fpt.edu.vn,PMG201c-HN-S154,HN,PMG201c
155,155,155@fpt.edu.vn,PMG201c-HN-S155,HN,PMG201c
156,156,156@fpt.edu.vn,PMG201c-HN-S156,HN,PMG201c
157,157,157@fpt.edu.vn,PMG201c-HN-S157,HN,PMG201c
302,302,302@fpt.edu.vn,PMG201c-HN-S302,HN,PMG201c
158,158,158@fpt.edu.vn,PMG201c-HN-S158,HN,PMG201c
159,159,159@fpt.edu.vn,PMG201c-HN-S159,HN,PMG201c
160,160,160@fpt.edu.vn,PMG201c-HN-S160,HN,PMG201c
161,161,161@fpt.edu.vn,PMG201c-HN-S161,HN,PMG201c
303,303,303@fpt.edu.vn,PMG201c-HN-S303,HN,PMG201c
162,162,162@fpt.edu.vn,PMG201c-HN-S162,HN,PMG201c
163,163,163@fpt.edu.vn,PMG201c-HN-S163,HN,PMG201c
286,286,286@fpt.edu.vn,PMG201c-HN-S286,HN,PMG201c
182,182,182@fpt.edu.vn,PMG201c-HN-S182,HN,PMG201c
287,287,287@fpt.edu.vn,PMG201c-HN-S287,HN,PMG201c
262,262,262@fpt.edu.vn,PMG201c-HN-S262,HN,PMG201c
304,304,304@fpt.edu.vn,PMG201c-HN-S304,HN,PMG201c
183,183,183@fpt.edu.vn,PMG201c-HN-S183,HN,PMG201c
288,288,288@fpt.edu.vn,PMG201c-HN-S288,HN,PMG201c
230,230,230@fpt.edu.vn,PMG201c-HN-S230,HN,PMG201c
184,184,184@fpt.edu.vn,PMG201c-HN-S184,HN,PMG201c
185,185,185@fpt.edu.vn,PMG201c-HN-S185,HN,PMG201c
202,202,202@fpt.edu.vn,PMG201c-HN-S202,HN,PMG201c
231,231,231@fpt.edu.vn,PMG201c-HN-S231,HN,PMG201c
263,263,263@fpt.edu.vn,PMG201c-HN-S263,HN,PMG201c
305,305,305@fpt.edu.vn,PMG201c-HN-S305,HN,PMG201c
186,186,186@fpt.edu.vn,PMG201c-HN-S186,HN,PMG201c
187,187,187@fpt.edu.vn,PMG201c-HN-S187,HN,PMG201c
164,164,164@fpt.edu.vn,PMG201c-HN-S164,HN,PMG201c
289,289,289@fpt.edu.vn,PMG201c-HN-S289,HN,PMG201c
290,290,290@fpt.edu.vn,PMG201c-HN-S290,HN,PMG201c
306,306,306@fpt.edu.vn,PMG201c-HN-S306,HN,PMG201c
291,291,291@fpt.edu.vn,PMG201c-HN-S291,HN,PMG201c
188,188,188@fpt.edu.vn,PMG201c-HN-S188,HN,PMG201c
165,165,165@fpt.edu.vn,PMG201c-HN-S165,HN,PMG201c
307,307,307@fpt.edu.vn,PMG201c-HN-S307,HN,PMG201c
203,203,203@fpt.edu.vn,PMG201c-HN-S203,HN,PMG201c
292,292,292@fpt.edu.vn,PMG201c-HN-S292,HN,PMG201c
204,204,204@fpt.edu.vn,PMG201c-HN-S204,HN,PMG201c
232,232,232@fpt.edu.vn,PMG201c-HN-S232,HN,PMG201c
189,189,189@fpt.edu.vn,PMG201c-HN-S189,HN,PMG201c
205,205,205@fpt.edu.vn,PMG201c-HN-S205,HN,PMG201c
206,206,206@fpt.edu.vn,PMG201c-HN-S206,HN,PMG201c
166,166,166@fpt.edu.vn,PMG201c-HN-S166,HN,PMG201c
233,233,233@fpt.edu.vn,PMG201c-HN-S233,HN,PMG201c
190,190,190@fpt.edu.vn,PMG201c-HN-S190,HN,PMG201c
207,207,207@fpt.edu.vn,PMG201c-HN-S207,HN,PMG201c
208,208,208@fpt.edu.vn,PMG201c-HN-S208,HN,PMG201c
234,234,234@fpt.edu.vn,PMG201c-HN-S234,HN,PMG201c
209,209,209@fpt.edu.vn,PMG201c-HN-S209,HN,PMG201c
210,210,210@fpt.edu.vn,PMG201c-HN-S210,HN,PMG201c
211,211,211@fpt.edu.vn,PMG201c-HN-S211,HN,PMG201c
212,212,212@fpt.edu.vn,PMG201c-HN-S212,HN,PMG201c
213,213,213@fpt.edu.vn,PMG201c-HN-S213,HN,PMG201c
214,214,214@fpt.edu.vn,PMG201c-HN-S214,HN,PMG201c
215,215,215@fpt.edu.vn,PMG201c-HN-S215,HN,PMG201c
235,235,235@fpt.edu.vn,PMG201c-HN-S235,HN,PMG201c
308,308,308@fpt.edu.vn,PMG201c-HN-S308,HN,PMG201c
309,309,309@fpt.edu.vn,PMG201c-HN-S309,HN,PMG201c
216,216,216@fpt.edu.vn,PMG201c-HN-S216,HN,PMG201c
217,217,217@fpt.edu.vn,PMG201c-HN-S217,HN,PMG201c
167,167,167@fpt.edu.vn,PMG201c-HN-S167,HN,PMG201c
310,310,310@fpt.edu.vn,PMG201c-HN-S310,HN,PMG201c
236,236,236@fpt.edu.vn,PMG201c-HN-S236,HN,PMG201c
293,293,293@fpt.edu.vn,PMG201c-HN-S293,HN,PMG201c
311,311,311@fpt.edu.vn,PMG201c-HN-S311,HN,PMG201c
237,237,237@fpt.edu.vn,PMG201c-HN-S237,HN,PMG201c
238,238,238@fpt.edu.vn,PMG201c-HN-S238,HN,PMG201c
218,218,218@fpt.edu.vn,PMG201c-HN-S218,HN,PMG201c
264,264,264@fpt.edu.vn,PMG201c-HN-S264,HN,PMG201c
312,312,312@fpt.edu.vn,PMG201c-HN-S312,HN,PMG201c
239,239,239@fpt.edu.vn,PMG201c-HN-S239,HN,PMG201c
240,240,240@fpt.edu.vn,PMG201c-HN-S240,HN,PMG201c
241,241,241@fpt.edu.vn,PMG201c-HN-S241,HN,PMG201c
242,242,242@fpt.edu.vn,PMG201c-HN-S242,HN,PMG201c
294,294,294@fpt.edu.vn,PMG201c-HN-S294,HN,PMG201c
295,295,295@fpt.edu.vn,PMG201c-HN-S295,HN,PMG201c
191,191,191@fpt.edu.vn,PMG201c-HN-S191,HN,PMG201c
243,243,243@fpt.edu.vn,PMG201c-HN-S243,HN,PMG201c
313,313,313@fpt.edu.vn,PMG201c-HN-S313,HN,PMG201c
244,244,244@fpt.edu.vn,PMG201c-HN-S244,HN,PMG201c
245,245,245@fpt.edu.vn,PMG201c-HN-S245,HN,PMG201c
246,246,246@fpt.edu.vn,PMG201c-HN-S246,HN,PMG201c
247,247,247@fpt.edu.vn,PMG201c-HN-S247,HN,PMG201c
248,248,248@fpt.edu.vn,PMG201c-HN-S248,HN,PMG201c
314,314,314@fpt.edu.vn,PMG201c-HN-S314,HN,PMG201c
315,315,315@fpt.edu.vn,PMG201c-HN-S315,HN,PMG201c
316,316,316@fpt.edu.vn,PMG201c-HN-S316,HN,PMG201c
249,249,249@fpt.edu.vn,PMG201c-HN-S249,HN,PMG201c
219,219,219@fpt.edu.vn,PMG201c-HN-S219,HN,PMG201c
220,220,220@fpt.edu.vn,PMG201c-HN-S220,HN,PMG201c
250,250,250@fpt.edu.vn,PMG201c-HN-S250,HN,PMG201c
251,251,251@fpt.edu.vn,PMG201c-HN-S251,HN,PMG201c
265,265,265@fpt.edu.vn,PMG201c-HN-S265,HN,PMG201c
266,266,266@fpt.edu.vn,PMG201c-HN-S266,HN,PMG201c
267,267,267@fpt.edu.vn,PMG201c-HN-S267,HN,PMG201c
252,252,252@fpt.edu.vn,PMG201c-HN-S252,HN,PMG201c
268,268,268@fpt.edu.vn,PMG201c-HN-S268,HN,PMG201c
269,269,269@fpt.edu.vn,PMG201c-HN-S269,HN,PMG201c
270,270,270@fpt.edu.vn,PMG201c-HN-S270,HN,PMG201c
192,192,192@fpt.edu.vn,PMG201c-HN-S192,HN,PMG201c
317,317,317@fpt.edu.vn,PMG201c-HN-S317,HN,PMG201c
271,271,271@fpt.edu.vn,PMG201c-HN-S271,HN,PMG201c
318,318,318@fpt.edu.vn,PMG201c-HN-S318,HN,PMG201c
272,272,272@fpt.edu.vn,PMG201c-HN-S272,HN,PMG201c
273,273,273@fpt.edu.vn,PMG201c-HN-S273,HN,PMG201c
319,319,319@fpt.edu.vn,PMG201c-HN-S319,HN,PMG201c
221,221,221@fpt.edu.vn,PMG201c-HN-S221,HN,PMG201c
168,168,168@fpt.edu.vn,PMG201c-HN-S168,HN,PMG201c
222,222,222@fpt.edu.vn,PMG201c-HN-S222,HN,PMG201c
274,274,274@fpt.edu.vn,PMG201c-HN-S274,HN,PMG201c
193,193,193@fpt.edu.vn,PMG201c-HN-S193,HN,PMG201c
169,169,169@fpt.edu.vn,PMG201c-HN-S169,HN,PMG201c
275,275,275@fpt.edu.vn,PMG201c-HN-S275,HN,PMG201c
276,276,276@fpt.edu.vn,PMG201c-HN-S276,HN,PMG201c
296,296,296@fpt.edu.vn,PMG201c-HN-S296,HN,PMG201c
277,277,277@fpt.edu.vn,PMG201c-HN-S277,HN,PMG201c
320,320,320@fpt.edu.vn,PMG201c-HN-S320,HN,PMG201c
278,278,278@fpt.edu.vn,PMG201c-HN-S278,HN,PMG201c
279,279,279@fpt.edu.vn,PMG201c-HN-S279,HN,PMG201c
194,194,194@fpt.edu.vn,PMG201c-HN-S194,HN,PMG201c
321,321,321@fpt.edu.vn,PMG201c-HN-S321,HN,PMG201c
195,195,195@fpt.edu.vn,PMG201c-HN-S195,HN,PMG201c
322,322,322@fpt.edu.vn,PMG201c-HN-S322,HN,PMG201c
323,323,323@fpt.edu.vn,PMG201c-HN-S323,HN,PMG201c
223,223,223@fpt.edu.vn,PMG201c-HN-S223,HN,PMG201c
324,324,324@fpt.edu.vn,PMG201c-HN-S324,HN,PMG201c
170,170,170@fpt.edu.vn,PMG201c-HN-S170,HN,PMG201c
253,253,253@fpt.edu.vn,PMG201c-HN-S253,HN,PMG201c
325,325,325@fpt.edu.vn,PMG201c-HN-S325,HN,PMG201c
196,196,196@fpt.edu.vn,PMG201c-HN-S196,HN,PMG201c
297,297,297@fpt.edu.vn,PMG201c-HN-S297,HN,PMG201c
326,326,326@fpt.edu.vn,PMG201c-HN-S326,HN,PMG201c
298,298,298@fpt.edu.vn,PMG201c-HN-S298,HN,PMG201c
280,280,280@fpt.edu.vn,PMG201c-HN-S280,HN,PMG201c
171,171,171@fpt.edu.vn,PMG201c-HN-S171,HN,PMG201c
327,327,327@fpt.edu.vn,PMG201c-HN-S327,HN,PMG201c
172,172,172@fpt.edu.vn,PMG201c-HN-S172,HN,PMG201c
328,328,328@fpt.edu.vn,PMG201c-HN-S328,HN,PMG201c
224,224,224@fpt.edu.vn,PMG201c-HN-S224,HN,PMG201c
281,281,281@fpt.edu.vn,PMG201c-HN-S281,HN,PMG201c
197,197,197@fpt.edu.vn,PMG201c-HN-S197,HN,PMG201c
282,282,282@fpt.edu.vn,PMG201c-HN-S282,HN,PMG201c
173,173,173@fpt.edu.vn,PMG201c-HN-S173,HN,PMG201c
1455,1455,1455@fpt.edu.vn,PMG201c-SG-S1455,SG,PMG201c
1456,1456,1456@fpt.edu.vn,PMG201c-SG-S1456,SG,PMG201c
1488,1488,1488@fpt.edu.vn,PMG201c-SG-S1488,SG,PMG201c
1489,1489,1489@fpt.edu.vn,PMG201c-SG-S1489,SG,PMG201c
1457,1457,1457@fpt.edu.vn,PMG201c-SG-S1457,SG,PMG201c
1521,1521,1521@fpt.edu.vn,PMG201c-SG-S1521,SG,PMG201c
1522,1522,1522@fpt.edu.vn,PMG201c-SG-S1522,SG,PMG201c
1523,1523,1523@fpt.edu.vn,PMG201c-SG-S1523,SG,PMG201c
1524,1524,1524@fpt.edu.vn,PMG201c-SG-S1524,SG,PMG201c
1458,1458,1458@fpt.edu.vn,PMG201c-SG-S1458,SG,PMG201c
1490,1490,1490@fpt.edu.vn,PMG201c-SG-S1490,SG,PMG201c
1459,1459,1459@fpt.edu.vn,PMG201c-SG-S1459,SG,PMG201c
1491,1491,1491@fpt.edu.vn,PMG201c-SG-S1491,SG,PMG201c
1525,1525,1525@fpt.edu.vn,PMG201c-SG-S1525,SG,PMG201c
1526,1526,1526@fpt.edu.vn,PMG201c-SG-S1526,SG,PMG201c
1460,1460,1460@fpt.edu.vn,PMG201c-SG-S1460,SG,PMG201c
1461,1461,1461@fpt.edu.vn,PMG201c-SG-S1461,SG,PMG201c
1462,1462,1462@fpt.edu.vn,PMG201c-SG-S1462,SG,PMG201c
1492,1492,1492@fpt.edu.vn,PMG201c-SG-S1492,SG,PMG201c
1493,1493,1493@fpt.edu.vn,PMG201c-SG-S1493,SG,PMG201c
1463,1463,1463@fpt.edu.vn,PMG201c-SG-S1463,SG,PMG201c
1494,1494,1494@fpt.edu.vn,PMG201c-SG-S1494,SG,PMG201c
1527,1527,1527@fpt.edu.vn,PMG201c-SG-S1527,SG,PMG201c
1495,1495,1495@fpt.edu.vn,PMG201c-SG-S1495,SG,PMG201c
1464,1464,1464@fpt.edu.vn,PMG201c-SG-S1464,SG,PMG201c
1528,1528,1528@fpt.edu.vn,PMG201c-SG-S1528,SG,PMG201c
1496,1496,1496@fpt.edu.vn,PMG201c-SG-S1496,SG,PMG201c
1529,1529,1529@fpt.edu.vn,PMG201c-SG-S1529,SG,PMG201c
1530,1530,1530@fpt.edu.vn,PMG201c-SG-S1530,SG,PMG201c
1531,1531,1531@fpt.edu.vn,PMG201c-SG-S1531,SG,PMG201c
1532,1532,1532@fpt.edu.vn,PMG201c-SG-S1532,SG,PMG201c
1533,1533,1533@fpt.edu.vn,PMG201c-SG-S1533,SG,PMG201c
1534,1534,1534@fpt.edu.vn,PMG201c-SG-S1534,SG,PMG201c
1497,1497,1497@fpt.edu.vn,PMG201c-SG-S1497,SG,PMG201c
1465,1465,1465@fpt.edu.vn,PMG201c-SG-S1465,SG,PMG201c
1498,1498,1498@fpt.edu.vn,PMG201c-SG-S1498,SG,PMG201c
1535,1535,1535@fpt.edu.vn,PMG201c-SG-S1535,SG,PMG201c
1499,1499,1499@fpt.edu.vn,PMG201c-SG-S1499,SG,PMG201c
1466,1466,1466@fpt.edu.vn,PMG201c-SG-S1466,SG,PMG201c
1536,1536,1536@fpt.edu.vn,PMG201c-SG-S1536,SG,PMG201c
1500,1500,1500@fpt.edu.vn,PMG201c-SG-S1500,SG,PMG201c
1501,1501,1501@fpt.edu.vn,PMG201c-SG-S1501,SG,PMG201c
1502,1502,1502@fpt.edu.vn,PMG201c-SG-S1502,SG,PMG201c
1537,1537,1537@fpt.edu.vn,PMG201c-SG-S1537,SG,PMG201c
1538,1538,1538@fpt.edu.vn,PMG201c-SG-S1538,SG,PMG201c
1539,1539,1539@fpt.edu.vn,PMG201c-SG-S1539,SG,PMG201c
1540,1540,1540@fpt.edu.vn,PMG201c-SG-S1540,SG,PMG201c
1503,1503,1503@fpt.edu.vn,PMG201c-SG-S1503,SG,PMG201c
1467,1467,1467@fpt.edu.vn,PMG201c-SG-S1467,SG,PMG201c
1468,1468,1468@fpt.edu.vn,PMG201c-SG-S1468,SG,PMG201c
1469,1469,1469@fpt.edu.vn,PMG201c-SG-S1469,SG,PMG201c
1541,1541,1541@fpt.edu.vn,PMG201c-SG-S1541,SG,PMG201c
1470,1470,1470@fpt.edu.vn,PMG201c-SG-S1470,SG,PMG201c
1542,1542,1542@fpt.edu.vn,PMG201c-SG-S1542,SG,PMG201c
1504,1504,1504@fpt.edu.vn,PMG201c-SG-S1504,SG,PMG201c
1543,1543,1543@fpt.edu.vn,PMG201c-SG-S1543,SG,PMG201c
1505,1505,1505@fpt.edu.vn,PMG201c-SG-S1505,SG,PMG201c
1471,1471,1471@fpt.edu.vn,PMG201c-SG-S1471,SG,PMG201c
1472,1472,1472@fpt.edu.vn,PMG201c-SG-S1472,SG,PMG201c
1544,1544,1544@fpt.edu.vn,PMG201c-SG-S1544,SG,PMG201c
1506,1506,1506@fpt.edu.vn,PMG201c-SG-S1506,SG,PMG201c
1507,1507,1507@fpt.edu.vn,PMG201c-SG-S1507,SG,PMG201c
1473,1473,1473@fpt.edu.vn,PMG201c-SG-S1473,SG,PMG201c
1474,1474,1474@fpt.edu.vn,PMG201c-SG-S1474,SG,PMG201c
1545,1545,1545@fpt.edu.vn,PMG201c-SG-S1545,SG,PMG201c
1508,1508,1508@fpt.edu.vn,PMG201c-SG-S1508,SG,PMG201c
1546,1546,1546@fpt.edu.vn,PMG201c-SG-S1546,SG,PMG201c
1547,1547,1547@fpt.edu.vn,PMG201c-SG-S1547,SG,PMG201c
1548,1548,1548@fpt.edu.vn,PMG201c-SG-S1548,SG,PMG201c
1549,1549,1549@fpt.edu.vn,PMG201c-SG-S1549,SG,PMG201c
1475,1475,1475@fpt.edu.vn,PMG201c-SG-S1475,SG,PMG201c
1509,1509,1509@fpt.edu.vn,PMG201c-SG-S1509,SG,PMG201c
1510,1510,1510@fpt.edu.vn,PMG201c-SG-S1510,SG,PMG201c
1511,1511,1511@fpt.edu.vn,PMG201c-SG-S1511,SG,PMG201c
1512,1512,1512@fpt.edu.vn,PMG201c-SG-S1512,SG,PMG201c
1550,1550,1550@fpt.edu.vn,PMG201c-SG-S1550,SG,PMG201c
1476,1476,1476@fpt.edu.vn,PMG201c-SG-S1476,SG,PMG201c
1513,1513,1513@fpt.edu.vn,PMG201c-SG-S1513,SG,PMG201c
1514,1514,1514@fpt.edu.vn,PMG201c-SG-S1514,SG,PMG201c
1477,1477,1477@fpt.edu.vn,PMG201c-SG-S1477,SG,PMG201c
1478,1478,1478@fpt.edu.vn,PMG201c-SG-S1478,SG,PMG201c
1479,1479,1479@fpt.edu.vn,PMG201c-SG-S1479,SG,PMG201c
1480,1480,1480@fpt.edu.vn,PMG201c-SG-S1480,SG,PMG201c
1551,1551,1551@fpt.edu.vn,PMG201c-SG-S1551,SG,PMG201c
1481,1481,1481@fpt.edu.vn,PMG201c-SG-S1481,SG,PMG201c
1515,1515,1515@fpt.edu.vn,PMG201c-SG-S1515,SG,PMG201c
1482,1482,1482@fpt.edu.vn,PMG201c-SG-S1482,SG,PMG201c
1483,1483,1483@fpt.edu.vn,PMG201c-SG-S1483,SG,PMG201c
1484,1484,1484@fpt.edu.vn,PMG201c-SG-S1484,SG,PMG201c
1516,1516,1516@fpt.edu.vn,PMG201c-SG-S1516,SG,PMG201c
1517,1517,1517@fpt.edu.vn,PMG201c-SG-S1517,SG,PMG201c
1518,1518,1518@fpt.edu.vn,PMG201c-SG-S1518,SG,PMG201c
1552,1552,1552@fpt.edu.vn,PMG201c-SG-S1552,SG,PMG201c
1485,1485,1485@fpt.edu.vn,PMG201c-SG-S1485,SG,PMG201c
1519,1519,1519@fpt.edu.vn,PMG201c-SG-S1519,SG,PMG201c
1486,1486,1486@fpt.edu.vn,PMG201c-SG-S1486,SG,PMG201c
1520,1520,1520@fpt.edu.vn,PMG201c-SG-S1520,SG,PMG201c
1487,1487,1487@fpt.edu.vn,PMG201c-SG-S1487,SG,PMG201c
31,31,31@fpt.edu.vn,PRP201-HN-HE31,HN,PRP201
32,32,32@fpt.edu.vn,PRP201-HN-HE32,HN,PRP201
33,33,33@fpt.edu.vn,PRP201-HN-HE33,HN,PRP201
34,34,34@fpt.edu.vn,PRP201-HN-HE34,HN,PRP201
35,35,35@fpt.edu.vn,PRP201-HN-HE35,HN,PRP201
1581,1581,1581@fpt.edu.vn,SSL101-CT-CA1581,CT,SSL101
1580,1580,1580@fpt.edu.vn,SSL101-CT-CA1580,CT,SSL101
1583,1583,1583@fpt.edu.vn,SSL101-CT-CA1583,CT,SSL101
1590,1590,1590@fpt.edu.vn,SSL101-CT-CA1590,CT,SSL101
1593,1593,1593@fpt.edu.vn,SSL101-CT-CA1593,CT,SSL101
1597,1597,1597@fpt.edu.vn,SSL101-CT-CA1597,CT,SSL101
1615,1615,1615@fpt.edu.vn,SSL101-CT-CA1615,CT,SSL101
1621,1621,1621@fpt.edu.vn,SSL101-CT-CA1621,CT,SSL101
1668,1668,1668@fpt.edu.vn,SSL101-CT-CA1668,CT,SSL101
1582,1582,1582@fpt.edu.vn,SSL101-CT-CE1582,CT,SSL101
1585,1585,1585@fpt.edu.vn,SSL101-CT-CE1585,CT,SSL101
1589,1589,1589@fpt.edu.vn,SSL101-CT-CE1589,CT,SSL101
1592,1592,1592@fpt.edu.vn,SSL101-CT-CE1592,CT,SSL101
1600,1600,1600@fpt.edu.vn,SSL101-CT-CE1600,CT,SSL101
1602,1602,1602@fpt.edu.vn,SSL101-CT-CE1602,CT,SSL101
1607,1607,1607@fpt.edu.vn,SSL101-CT-CE1607,CT,SSL101
1610,1610,1610@fpt.edu.vn,SSL101-CT-CE1610,CT,SSL101
1611,1611,1611@fpt.edu.vn,SSL101-CT-CE1611,CT,SSL101
1612,1612,1612@fpt.edu.vn,SSL101-CT-CE1612,CT,SSL101
1614,1614,1614@fpt.edu.vn,SSL101-CT-CE1614,CT,SSL101
1620,1620,1620@fpt.edu.vn,SSL101-CT-CE1620,CT,SSL101
1622,1622,1622@fpt.edu.vn,SSL101-CT-CE1622,CT,SSL101
1629,1629,1629@fpt.edu.vn,SSL101-CT-CE1629,CT,SSL101
1630,1630,1630@fpt.edu.vn,SSL101-CT-CE1630,CT,SSL101
1650,1650,1650@fpt.edu.vn,SSL101-CT-CE1650,CT,SSL101
1641,1641,1641@fpt.edu.vn,SSL101-CT-CE1641,CT,SSL101
1639,1639,1639@fpt.edu.vn,SSL101-CT-CE1639,CT,SSL101
1653,1653,1653@fpt.edu.vn,SSL101-CT-CE1653,CT,SSL101
1663,1663,1663@fpt.edu.vn,SSL101-CT-CE1663,CT,SSL101
1648,1648,1648@fpt.edu.vn,SSL101-CT-CE1648,CT,SSL101
1652,1652,1652@fpt.edu.vn,SSL101-CT-CE1652,CT,SSL101
1655,1655,1655@fpt.edu.vn,SSL101-CT-CE1655,CT,SSL101
1632,1632,1632@fpt.edu.vn,SSL101-CT-CE1632,CT,SSL101
1651,1651,1651@fpt.edu.vn,SSL101-CT-CE1651,CT,SSL101
1656,1656,1656@fpt.edu.vn,SSL101-CT-CE1656,CT,SSL101
1636,1636,1636@fpt.edu.vn,SSL101-CT-CE1636,CT,SSL101
1631,1631,1631@fpt.edu.vn,SSL101-CT-CE1631,CT,SSL101
1633,1633,1633@fpt.edu.vn,SSL101-CT-CE1633,CT,SSL101
1634,1634,1634@fpt.edu.vn,SSL101-CT-CE1634,CT,SSL101
1642,1642,1642@fpt.edu.vn,SSL101-CT-CE1642,CT,SSL101
1643,1643,1643@fpt.edu.vn,SSL101-CT-CE1643,CT,SSL101
